"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"Science for a Sustainable Future: Developing the Next Generation of Diverse Scientists","Aaron Velasco","Vanessa Lougheed, William Robertson"
"Acquisition of Research Instrumentation for Web-based Visualization of Spatio-Temporal Data","Naphtali Rishe","Ouri Wolfson"
"Mammalian Diversity in Bolivia - The Yungas and Valles","Terry Yates","None"
"Dispersal in Ecological Models: From Patches to Landscapes","George Cosner","Robert Cantrell"
"Conceptualizing an Institute for Sustainable Earth and Environmental Software (ISEES)","Matthew Jones","Peter Fox, Carol Meyer, Mark Schildhauer, William Michener"
"SDCI: Data/NMI New/Improvement - Semantic Provenance Capture in Data Ingest Systems (SPCDIS)","Peter Fox","NoneDeborah McGuinness, Thomas Zurbuchen"
"ITR: Real-Time Data Aware System for Earth, Oceanographic, and Environmental Applications","John Orcutt","Arcot Rajasekar, Hans-Werner Braun, Bertram Ludaescher, Frank Vernon"
"Collaborative Research: CI-Team Diff: The Virtual Learning Commons: STEM Research Communities Learning about Data Management, Geospatial Informatics, and Scientific Visualization","James Beach","Kevin Brady, Lourdes Echegoyen, Peter Golding, Natalia Villanueva, Paulo Pinheiro, Aimee Stewart, Karl Benedict, Kristin Vanderbilt, Steven Roach"
"Ecological Modeling: From Individual Utilization of Space to Community Structure","George Cosner","Robert Cantrell"
"Thematic Program: The Mathematics of Drug Resistance in Infectious Diseases","Shigui Ruan","None"
"SDCI Data: New Toolkit for Provenance Collection, Publishing, and Experience Reuse","Beth Plale","David Leake, Yogesh Simmhan"
"Collaborative Research: The El Nino-Southern Oscillation (ENSO)-Mediterranean Teleconnection: Observations and Dynamics","Jeffrey Shaman","None"
"Digital Government: Integrating Metadata Development, XML, and DBMS Search and Query Techniques in a State of Wisconsin Land Information System","Nancy Wiegand","Stephen Ventura, Maria Cruz"
"CREST-Cyber-ShARE Center of Excellence: A Center for the Sharing of Cyber-Resource to Advance Science and Education","Ann Gates","Leticia Velazquez, Craig Tweedie, Paulo Pinheiro, Aaron Velasco"
"Livestock Movements and Disease Epidemiology in the Chad Basin: Modeling Risks for Animals and Humans","Rebecca Garabed","Song Liang, Ningchuan Xiao, Mark Moritz"
"Collaborative Research: NeTS-NBD: An Integrated Approach to Computing Capacity and Developing Efficient Cross-Layer Protocols for Wireless Networks","Madhav Marathe","Anil Kumar, Christopher Barrett"
"BIOCOMPLEXITY-- INCUBATION ACTIVITY: A Synthetic Approach to Phytotelmata Communities","Thomas Miller","None"
"Quantifying the influence of environmental temperature on transmission of vector-borne diseases","Matthew Thomas","Michael Mann, Robert Crane, Andrew Read, Thomas Scott"
"CEO:P--Management and Analysis of Environmental Observatory Data Using the Kepler Scientific Workflow System","Matthew Jones","Chaitanya Baru, Bertram Ludaescher, Ilkay Altintas, Mark Schildhauer"
"I3: A Cyberinfrastructure and Communication-Based Model to Foster Innovation that Broadens Participation in STEM Fields through Institutional Integration","Diana Natalicio","Arunkumar Pennathur, Patricia Witherspoon, Ann Gates, Benjamin Flores"
"Collaborative Proposal: ITR-SemDIS: Discovering Complex Relationships in the Semantic Web","Amit Sheth","NoneKrzysztof Kochut, Yelena Yesha, Timothy Finin, John Miller, Budak Arpinar"
"Collaborative Proposal: WATERS: EVALUATING COMMUNITY MODELS AND OBSERVATION NETWORKS UNDER UNCERTAINTY WITHIN THE SUSQUEHANNA RIVER BASIN","Michael Piasecki","Michael Piasecki"
"ADVANCE Fellows Award - Seamount Ecology: From Information to Knowledge","Karen Stocks","None"
"Collaborative Research SI2 SSE: Pipeline Framework for Ensemble Runs on Clouds","Beth Plale","NoneBrian Soden"
"SENSORS: Data-Driven Sensor Networks","Johannes Gehrke","Rajmohan Rajaraman"
